"MethodName","Zone","Period","Time"
"TBATS","zone.10","period 2",106.40858459472
"TBATS","zone.9","period 3",93.291870594024
"TBATS","zone.16","period 4",105.05450677871
"TBATS","zone.13","period 3",67.47671031951
"TBATS","zone.15","period 3",103.0962047576
"TBATS","zone.11","period 2",78.901439428329
"TBATS","zone.9","period 4",40.06965136528
"TBATS","zone.13","period 4",40.321294546127
"TBATS","zone.10","period 3",82.000975608825
"TBATS","zone.12","period 3",178.17034626007
"TBATS","zone.15","period 4",63.092938661575
"TBATS","zone.17","period 1",56.784885644912
"TBATS","zone.10","period 4",46.650456190109
"TBATS","zone.18","period 1",21.66272115707
"TBATS","zone.17","period 2",55.367942333221
"TBATS","zone.11","period 3",149.89587283134
"TBATS","zone.18","period 2",73.574375391006
"TBATS","zone.12","period 4",138.84137678146
"TBATS","zone.17","period 3",95.755777835845
"TBATS","zone.20","period 1",47.803462743759
"TBATS","zone.11","period 4",118.6206960678
"TBATS","zone.18","period 3",98.698778390884
"TBATS","zone.17","period 4",70.516488552093
"TBATS","zone.20","period 2",63.667036294937
"TBATS","zone.19","period 1",31.976227521896
"TBATS","zone.18","period 4",72.392097949981
"TBATS","zone.20","period 3",73.428254842758
"TBATS","zone.19","period 2",74.273647785186
"TBATS","zone.20","period 4",42.071804761886
"TBATS","zone.19","period 3",65.564652204513
"TBATS","zone.19","period 4",32.895696401596
"randomforest","zone.1","period 1",1453.90800285338
"randomforest","zone.1","period 2",1574.80552291864
"randomforest","zone.1","period 3",1627.67279052732
"randomforest","zone.1","period 4",1677.67237854002
"randomforest","zone.10","period 1",1420.30975723265
"randomforest","zone.10","period 2",1594.77916145259
"randomforest","zone.10","period 3",1585.98012351988
"randomforest","zone.10","period 4",1672.88493347166
"randomforest","zone.11","period 1",1552.75704193114
"randomforest","zone.11","period 2",1761.71675109862
"randomforest","zone.11","period 3",1767.87228775023
"randomforest","zone.11","period 4",1879.54352188107
"randomforest","zone.12","period 1",1550.23045539847
"randomforest","zone.12","period 2",1778.50096893309
"randomforest","zone.12","period 3",1767.20350646969
"randomforest","zone.12","period 4",1881.85787010188
"randomforest","zone.13","period 1",1393.62106323241
"randomforest","zone.13","period 2",1560.31786346434
"randomforest","zone.13","period 3",1587.44338035581
"randomforest","zone.13","period 4",1655.11440849302
"randomforest","zone.14","period 1",1411.83441925048
"randomforest","zone.14","period 2",1575.60258483885
"randomforest","zone.14","period 3",1569.70283699032
"randomforest","zone.14","period 4",1647.99230384826
"randomforest","zone.15","period 1",1499.80420875532
"randomforest","zone.15","period 2",1694.51238822932
"randomforest","zone.15","period 3",1689.85192680358
"randomforest","zone.15","period 4",1793.83972167968
"randomforest","zone.16","period 1",1471.2283592224
"randomforest","zone.16","period 2",1616.33897018431
"randomforest","zone.16","period 3",1665.71878051757
"randomforest","zone.16","period 4",1712.19337654112
"randomforest","zone.17","period 1",1425.23754310606
"randomforest","zone.17","period 2",1568.62345886214
"randomforest","zone.17","period 3",1601.97925186156
"randomforest","zone.17","period 4",1644.88850975035
"randomforest","zone.18","period 1",1592.37423133847
"randomforest","zone.18","period 2",1748.56369972227
"randomforest","zone.18","period 3",1792.28291320799
"randomforest","zone.18","period 4",1887.69760513303
"randomforest","zone.19","period 1",1528.08423614496
"randomforest","zone.19","period 2",1709.21730041501
"randomforest","zone.19","period 3",1746.21518898009
"randomforest","zone.19","period 4",1801.85915756223
"randomforest","zone.2","period 1",1619.56726455687
"randomforest","zone.2","period 2",1740.16953659056
"randomforest","zone.2","period 3",1827.6962623596
"randomforest","zone.2","period 4",1877.52249526972
"randomforest","zone.20","period 1",1497.01212120054
"randomforest","zone.20","period 2",1686.32850837698
"randomforest","zone.20","period 3",1725.15820693968
"randomforest","zone.20","period 4",1775.80858993529
"randomforest","zone.3","period 1",1633.54619407627
"randomforest","zone.3","period 2",1786.40907669066
"randomforest","zone.3","period 3",1818.87828254698
"randomforest","zone.3","period 4",1894.25953674311
"randomforest","zone.4","period 1",1042.29188156127
"randomforest","zone.4","period 2",1147.88223457274
"randomforest","zone.4","period 3",1173.60461235045
"randomforest","zone.4","period 4",1236.39739227292
"randomforest","zone.5","period 1",1212.11427307128
"randomforest","zone.5","period 2",1355.02620124813
"randomforest","zone.5","period 3",1367.83462333677
"randomforest","zone.5","period 4",1432.58509826657
"randomforest","zone.6","period 1",1575.7859649658
"randomforest","zone.6","period 2",1742.65127563475
"randomforest","zone.6","period 3",1793.25561523432
"randomforest","zone.6","period 4",1878.53763008115
"randomforest","zone.7","period 1",1548.53106117247
"randomforest","zone.7","period 2",1754.63555717466
"randomforest","zone.7","period 3",1810.46563911437
"randomforest","zone.7","period 4",1856.80985259999
"randomforest","zone.8","period 1",1151.82895660398
"randomforest","zone.8","period 2",1271.54166793822
"randomforest","zone.8","period 3",1308.16923332213
"randomforest","zone.8","period 4",1363.20701980589
"randomforest","zone.9","period 1",1357.31065177915
"randomforest","zone.9","period 2",1464.33890151975
"randomforest","zone.9","period 3",1509.17991256713
"randomforest","zone.9","period 4",1582.84061431884
"averageARIMA","subs.5","period 1",4.4588031768798
"averageARIMA","subs.4","period 1",5.0887804031372
"averageARIMA","subs.1","period 1",5.5012652873992
"averageARIMA","subs.6","period 1",5.8902232646942
"averageARIMA","subs.7","period 1",6.3207423686981
"averageARIMA","subs.3","period 1",6.347443819046
"averageARIMA","subs.2","period 1",8.5305325984954
"averageARIMA","subs.8","period 1",9.7890117168426
"averageARIMA","subs.5","period 2",5.8417789936065
"averageARIMA","subs.1","period 2",4.838809013366
"averageARIMA","subs.7","period 2",4.7828257083892
"averageARIMA","subs.4","period 2",6.0287647247314
"averageARIMA","subs.3","period 2",8.3141305446624
"averageARIMA","subs.6","period 2",9.1812658309936
"averageARIMA","subs.4","period 3",3.9601910114288
"averageARIMA","subs.7","period 3",4.3895726203918
"averageARIMA","subs.5","period 3",5.3039433956146
"averageARIMA","subs.2","period 2",7.2865579128265
"averageARIMA","subs.8","period 2",6.6359982490539
"averageARIMA","subs.1","period 3",6.6505641937255
"averageARIMA","subs.6","period 3",3.68875837326
"averageARIMA","subs.3","period 3",4.1434829235076
"averageARIMA","subs.4","period 4",4.9650175571441
"averageARIMA","subs.7","period 4",5.270379781723
"averageARIMA","subs.5","period 4",5.220855474472
"averageARIMA","subs.8","period 3",5.7373447418212
"averageARIMA","subs.1","period 4",5.668787240982
"averageARIMA","subs.3","period 4",4.6523888111114
"averageARIMA","subs.6","period 4",5.2598867416381
"averageARIMA","subs.12","period 1",4.1106712818145
"averageARIMA","subs.15","period 1",3.8518898487091
"averageARIMA","subs.13","period 1",4.112653732299
"averageARIMA","subs.8","period 4",5.277803659439
"averageARIMA","subs.9","period 1",5.1377961635589
"averageARIMA","subs.12","period 2",4.30956578254
"averageARIMA","subs.11","period 1",5.257127046585
"averageARIMA","subs.13","period 2",4.0405693054199
"averageARIMA","subs.15","period 2",4.4394500255584
"averageARIMA","subs.16","period 1",3.9274425506591
"averageARIMA","subs.9","period 2",3.9948377609252
"averageARIMA","subs.12","period 3",3.9438650608062
"averageARIMA","subs.13","period 3",3.8977599143981
"averageARIMA","subs.11","period 2",4.3785603046417
"averageARIMA","subs.15","period 3",5.7210307121276
"averageARIMA","subs.2","period 3",19.326825141906
"averageARIMA","subs.9","period 3",4.1231598854064
"averageARIMA","subs.11","period 3",5.1818387508392
"averageARIMA","subs.12","period 4",6.4973876476287
"averageARIMA","subs.2","period 4",4.4850296974182
"averageARIMA","subs.13","period 4",6.7446463108062
"averageARIMA","subs.9","period 4",4.9755518436431
"averageARIMA","subs.14","period 1",17.000703573226
"averageARIMA","subs.15","period 4",7.4943833351135
"averageARIMA","subs.11","period 4",4.210818529129
"averageARIMA","subs.20","period 1",4.0306060314178
"averageARIMA","subs.10","period 1",5.3862767219543
"averageARIMA","subs.14","period 2",4.05971288681
"averageARIMA","subs.17","period 1",6.4020051956176
"averageARIMA","subs.16","period 2",16.686979055404
"averageARIMA","subs.20","period 2",5.3725578784942
"averageARIMA","subs.14","period 3",3.5054092407226
"averageARIMA","subs.19","period 1",7.7601795196533
"averageARIMA","subs.16","period 3",3.24986743927
"averageARIMA","subs.17","period 2",4.9772012233734
"averageARIMA","subs.20","period 3",4.0261695384979
"averageARIMA","subs.14","period 4",4.1192338466644
"averageARIMA","subs.10","period 2",8.1432552337646
"averageARIMA","subs.19","period 2",4.2241151332855
"averageARIMA","subs.17","period 3",3.6153542995452
"averageARIMA","subs.10","period 3",3.5385072231292
"averageARIMA","subs.20","period 4",5.289906740188
"averageARIMA","subs.16","period 4",6.5061345100402
"averageARIMA","subs.19","period 3",4.6635253429412
"averageARIMA","subs.10","period 4",2.9884915351867
"averageARIMA","subs.17","period 4",4.0460374355316
"averageARIMA","subs.18","period 1",2.6629362106323
"averageARIMA","subs.19","period 4",4.2308733463287
"averageARIMA","subs.18","period 2",2.8056573867797
"averageARIMA","subs.18","period 3",2.6078464984893
"averageARIMA","subs.18","period 4",3.093623399734
"OriginalDSHW","subs.7","period 1",63.10938668251
"OriginalDSHW","subs.8","period 1",64.68449330329
"OriginalDSHW","subs.3","period 1",72.681399106979
"OriginalDSHW","subs.2","period 1",73.535771608352
"OriginalDSHW","subs.5","period 1",96.5118513107
"OriginalDSHW","subs.4","period 1",98.631526470184
"OriginalDSHW","subs.1","period 1",123.3621430397
"OriginalDSHW","subs.6","period 1",165.58613681793
"OriginalDSHW","subs.3","period 2",98.11472249031
"OriginalDSHW","subs.8","period 2",113.67983484268
